title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
"If Anyone Builds It, Everyone Dies","Eliezer Yudkowsky, Nate Soares",audiobook,reading,,2026-09-08,,1,libby; wispr-dictation,notes/if-anyone-builds-it-everyone-dies.md
Spent,Alison Bechdel,print,reading,,2026-09-07,,1,shelf-photo,notes/spent.md
The Unbearable Lightness of Being,Milan Kundera,print,finished,,2026-08-26,2026-09-06,2,shelf-photo; wispr-dictation,notes/unbearable-lightness-of-being.md
Evidence of the Affair,Taylor Jenkins Reid,audiobook+ebook,owned,0,2026-08-25,,3,audible; kindle-library; prime-reading,
Small Things (Alibis collection),Wanda M. Morris,audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
Good Neighbors (Alibis collection),Chad Zunker,audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
False Note (Alibis collection),"David Lagercrantz,Elizabeth DeNoma",audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
The Skydivers (Alibis collection),Chris Bohjalian,audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
The Ex-Wives Club (Alibis collection),Sally Hepworth,audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
Death Row (Alibis collection),Freida McFadden,audiobook+ebook,owned,,2026-08-25,,3,audible; kindle-library; prime-reading,
Alibis (Unabridged),,,wishlist,,2026-08-25,,1,audible-wishlist,
The Art Spy,Michelle Young,library,borrowed,,2026-08-22,,1,libby,
"Hello, Molly!: A Memoir (Unabridged)",,,wishlist,,2026-08-22,,1,audible-wishlist,
The Land and Its People,David Sedaris,library,borrowed,,2026-08-21,,1,libby,
All the Light We Cannot See,Anthony Doerr,library,borrowed,,2026-08-18,,1,libby,
Strange Pictures,Uketsu,print,finished,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-pictures.md
Strange Houses,Uketsu,print,finished,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-houses.md
Strange Buildings,Uketsu,print,finished,,2026-07-16,2026-08-17,2,lauren-stated,notes/strange-buildings.md
The Brain from Inside Out (Unabridged),,,wishlist,,2026-07-08,,1,audible-wishlist,
What Is Health?: Allostasis and the Evolution of Human Design (Unabridged),,,wishlist,,2026-07-08,,1,audible-wishlist,
A Marriage at Sea,Sophie Elmhirst,library,borrowed,,2026-06-23,,1,libby,
Understanding the Brain,,,wishlist,,2026-06-22,,1,audible-wishlist,
American Scandal,Audible,audiobook,owned,,2026-06-05,,1,audible,
Leadership and Self-Deception,The Arbinger Institute,library,borrowed,,2026-06-04,,1,libby,
The New Perimenopause,Mary Claire Haver MD,audiobook,owned,,2026-05-31,,1,audible-shared,
Patterns of the Universe: A Coloring Adventure in Math and Beauty,,print,owned,,2026-05-25,,1,amazon-print,
Visions of the Universe: A Coloring Journey Through Math's Great Mysteries,,print,owned,,2026-05-25,,1,amazon-print,
The Mythical Man-Month,Frederick P. Brooks Jr.,library,wishlist,,2026-05-07,2026-05-25,2,audible-wishlist; libby,
